qid,name,source
Q314350,Antoine Bourdelle,missing_from_discovery
Q3629278,Attilio Piccirilli,missing_from_discovery
Q108480398,Charlotte Dunwiddie,missing_from_discovery
Q5214147,Dan Ostermiller,missing_from_discovery
Q1495586,Gaston Lachaise,missing_from_discovery
Q2572996,Hiram Powers,missing_from_discovery
Q6756130,Marcel Jovine,missing_from_discovery
Q66012989,Neil Estern,missing_from_discovery
Q3371768,Paul Manship,missing_from_discovery
Q105801830,Richard McDermott Miller,missing_from_discovery
Q16200002,Simone Leigh,missing_from_discovery
Q7599481,Stanley Bleifeld,missing_from_discovery
Q385941,William Zorach,missing_from_discovery
