First,Last,Born,Died,Years on Earth,,
Hiram,Powers,1805,1873,68,,
John Quincy Adams,Ward,1830,1910,80,,
Auguste,Rodin,1840,1917,77,,
Augustus,Saint-Gaudens,1848,1907,59,,
Daniel Chester,French,1850,1931,81,,
Attilio,Piccirilli,1866,1945,79,,
Karl,Bitter,1867,1915,48,,
Gutzon,Borglum,1867,1941,74,,
Carl,Milles,1875,1955,80,,
Gertrude Vanderbilt,Whitney,1875,1942,67,,
Anna Hyatt,Huntington,1876,1973,97,,
Constantin,Brancusi,1876,1957,81,,
Pablo,Picasso,1881,1973,92,,
Gaston,Lachaise,1882,1935,53,,
Elie,Nadelman,1882,1946,64,,
Malvina,Hoffman,1885,1966,81,,
Paul,Manship,1885,1966,81,,
Marcel,Duchamp,1887,1968,81,,
William,Zorach,1887,1966,79,,
Augusta,Savage,1892,1962,70,,
Alexander ,Calder,1898,1976,78,,
Louise,Nevelson,1899,1988,89,,
Alberto,Giacometti,1901,1966,65,,
Walker,Hancock,1901,1998,97,,
Isamu,Noguchi,1904,1988,84,,
Charlotte,Dunwiddie,1907,1995,88,,
Louise,Bourgeois,1911,2010,99,,
Tony,Smith,1912,1980,68,,
Marcel,Jovine,1921,2003,82,,
Richard McDermott,Miller,1922,2004,82,,
Stanley,Bleifeld,1924,2011,87,,
Neil,Estern,1926,2019,93,,
Donald,Judd,1928,1994,66,,
Carl,Andre,1935,2024,89,,
Richard ,Serra,1938,2024,86,,
Jeff,Koons,1955,,,,
Dan,Ostermiller,1956,,,,
Simone,Leigh,1967,,,,
